Key,en,es,fr,pt,de,af,zu,st
"dashboard.transaction.failed_delete","Failed to delete transaction","","","","","","",""
"dashboard.transaction.failed_reverse","Failed to create reversal","","","","","","",""
"dashboard.petty_cash_reconcile.title","Cash Reconciliation","","","","","","",""
"dashboard.petty_cash_reconcile.loading_data","Loading reconciliation data...","","","","","","",""
"dashboard.petty_cash_reconcile.balance_comparison","Balance Comparison","","","","","","",""
"dashboard.petty_cash_reconcile.system_balance","System Balance","","","","","","",""
"dashboard.petty_cash_reconcile.physical_cash","Physical Cash","","","","","","",""
"dashboard.petty_cash_reconcile.variance","Variance","","","","","","",""
"dashboard.petty_cash_reconcile.variance_physical_exceeds","Physical cash exceeds system balance","","","","","","",""
"dashboard.petty_cash_reconcile.variance_system_exceeds","System balance exceeds physical cash","","","","","","",""
"dashboard.petty_cash_reconcile.count_physical_cash","Count Physical Cash","","","","","","",""
"dashboard.petty_cash_reconcile.counting_instructions","Count each denomination and enter the quantity below:","","","","","","",""
"dashboard.petty_cash_reconcile.enter_quantity_placeholder","0","","","","","","",""
"dashboard.petty_cash_reconcile.notes_title","Reconciliation Notes","","","","","","",""
"dashboard.petty_cash_reconcile.notes_placeholder","Add any notes about discrepancies or observations...","","","","","","",""
"dashboard.petty_cash_reconcile.last_reconciliation","Last Reconciliation","","","","","","",""
"dashboard.petty_cash_reconcile.complete_reconciliation","Complete Reconciliation","","","","","","",""
"dashboard.petty_cash_reconcile.reconciling","Reconciling...","","","","","","",""
"dashboard.petty_cash_reconcile.save_success_title","Reconciliation Complete","","","","","","",""
"dashboard.petty_cash_reconcile.save_success_message","Cash reconciliation has been recorded.

Variance: {{variance}}","","","","","","",""
"dashboard.petty_cash_reconcile.view_history","View History","","","","","","",""
"dashboard.petty_cash_reconcile.load_error","Failed to load reconciliation data","","","","","","",""
"dashboard.petty_cash_reconcile.save_error","Failed to save reconciliation","","","","","","",""
"dashboard.category.choose_expense_category","Choose an expense category:","","","","","","",""
"announcement.create_announcement","Create Announcement","","","","","","",""
"announcement.title","Title","","","","","","",""
"announcement.message","Message","","","","","","",""
"announcement.send_to","Send To","","","","","","",""
"announcement.priority_level","Priority Level","","","","","","",""
"announcement.options","Options","","","","","","",""
"announcement.preview","Preview","","","","","","",""
"announcement.send","Send","","","","","","",""
"announcement.teachers","Teachers","","","","","","",""
"announcement.parents","Parents","","","","","","",""
"announcement.students","Students","","","","","","",""
"announcement.admin_staff","Admin Staff","","","","","","",""
"announcement.low","Low","","","","","","",""
"announcement.normal","Normal","","","","","","",""
"announcement.high","High","","","","","","",""
"announcement.urgent","Urgent","","","","","","",""
"announcement.requires_response","Requires Response","","","","","","",""
"announcement.schedule_for_later","Schedule for Later","","","","","","",""
"announcement.recipients_count","{{count}} recipients","","","","","","",""
"announcement.enter_title","Enter announcement title...","","","","","","",""
"announcement.write_message","Write your announcement message here...","","","","","","",""
"announcement.characters_count","{{count}}/1000 characters","","","","","","",""
"announcement.missing_information","Missing Information","","","","","","",""
"announcement.provide_title_message","Please provide both title and message","","","","","","",""
"announcement.no_audience","No Audience","","","","","","",""
"announcement.select_audience","Please select at least one audience","","","","","","",""
"announcement.recipients_acknowledge","Recipients must acknowledge this announcement","","","","","","",""
"announcement.send_specific_time","Send at a specific date and time","","","","","","",""
"announcement.announcement_title_placeholder","Announcement Title","","","","","","",""
"announcement.message_placeholder","Your announcement message will appear here...","","","","","","",""
"announcement.sent_to","Sent to: {{audience}}","","","","","","",""
"announcement.no_audience_selected","No audience selected","","","","","","",""
"petty_cash.petty_cash","Petty Cash","","","","","","",""
"petty_cash.current_balance","Current Balance","","","","","","",""
"petty_cash.quick_actions","Quick Actions","","","","","","",""
"petty_cash.add_expense","Add Expense","","","","","","",""
"petty_cash.replenish_cash","Replenish Cash","","","","","","",""
"petty_cash.withdraw_cash","Withdraw Cash","","","","","","",""
"petty_cash.reconcile","Reconcile","","","","","","",""
"petty_cash.recent_transactions","Recent Transactions","","","","","","",""
"petty_cash.view_all","View All","","","","","","",""
"petty_cash.total_expenses","Total Expenses","","","","","","",""
"petty_cash.total_replenishments","Total Replenishments","","","","","","",""
"petty_cash.pending_approval","Pending Approval","","","","","","",""
"petty_cash.no_transactions_yet","No Transactions Yet","","","","","","",""
"petty_cash.add_first_expense","Add your first expense or replenishment","","","","","","",""
"petty_cash.monthly_overview","Monthly Overview","","","","","","",""
"petty_cash.balance","Balance","","","","","","",""
"petty_cash.amount","Amount","","","","","","",""
"petty_cash.description","Description","","","","","","",""
"petty_cash.category","Category","","","","","","",""
"petty_cash.receipt_number","Receipt Number","","","","","","",""
"petty_cash.select_category","Select Category","","","","","","",""
"petty_cash.enter_amount","Enter amount","","","","","","",""
"petty_cash.enter_description","Enter description","","","","","","",""
"petty_cash.enter_receipt_number","Enter receipt number (optional)","","","","","","",""
"petty_cash.attach_receipt","Attach Receipt","","","","","","",""
"petty_cash.save","Save","","","","","","",""
"petty_cash.cancel","Cancel","","","","","","",""
"petty_cash.expense","Expense","","","","","","",""
"petty_cash.replenishment","Replenishment","","","","","","",""
"petty_cash.adjustment","Adjustment","","","","","","",""
"petty_cash.approved","Approved","","","","","","",""
"petty_cash.pending","Pending","","","","","","",""
"petty_cash.rejected","Rejected","","","","","","",""
"petty_cash.error_no_school","No school assigned to your account","","","","","","",""
"petty_cash.error_fill_fields","Please fill in all required fields","","","","","","",""
"petty_cash.error_valid_amount","Please enter a valid amount","","","","","","",""
"petty_cash.error_insufficient_balance","Insufficient petty cash balance","","","","","","",""
"petty_cash.error_replenishment_amount","Please enter replenishment amount","","","","","","",""
"petty_cash.error_amount_description","Please enter amount and description","","","","","","",""
"petty_cash.error_withdrawal_exceeds","Withdrawal amount exceeds current balance","","","","","","",""
"petty_cash.error_failed_load","Failed to load petty cash information","","","","","","",""
"petty_cash.error_failed_add","Failed to add expense","","","","","","",""
"petty_cash.error_failed_record","Failed to record replenishment","","","","","","",""
"petty_cash.error_failed_withdrawal","Failed to record withdrawal","","","","","","",""
"petty_cash.error_db_unavailable","Database connection not available","","","","","","",""
"petty_cash.success_expense_added","Expense added successfully","","","","","","",""
"petty_cash.success_expense_receipt"," with receipt","","","","","","",""
"petty_cash.success_replenishment","Replenishment recorded successfully","","","","","","",""
"petty_cash.success_withdrawal","Withdrawal recorded successfully","","","","","","",""
"petty_cash.confirm_withdrawal","Confirm Withdrawal","","","","","","",""
"petty_cash.confirm_withdrawal_message","Are you sure you want to withdraw {{amount}} from petty cash?

This will reduce the available balance.","","","","","","",""
"petty_cash.withdraw","Withdraw","","","","","","",""
"petty_cash.stationery_supplies","Stationery & Supplies","","","","","","",""
"petty_cash.refreshments","Refreshments","","","","","","",""
"petty_cash.maintenance_repairs","Maintenance & Repairs","","","","","","",""
"petty_cash.travel_transport","Travel & Transport","","","","","","",""
"petty_cash.communication","Communication","","","","","","",""
"petty_cash.medical_first_aid","Medical & First Aid","","","","","","",""
"petty_cash.cleaning_supplies","Cleaning Supplies","","","","","","",""
"petty_cash.utilities_small","Utilities (small amounts)","","","","","","",""
"petty_cash.emergency_expenses","Emergency Expenses","","","","","","",""
"petty_cash.other","Other","","","","","","",""
"petty_cash.withdrawal_adjustment","Withdrawal/Adjustment","","","","","","",""
"petty_cash.loading_data","Loading petty cash data...","","","","","","",""
"petty_cash.low_balance_warning","Low balance - consider replenishment","","","","","","",""
"petty_cash.available_balance","Available Balance","","","","","","",""
"petty_cash.replenishment_amount","Replenishment Amount","","","","","","",""
"petty_cash.current_status","Current Status","","","","","","",""
"petty_cash.replenishment_recommendation","Recommended replenishment when balance falls below R1,000","","","","","","",""
"petty_cash.withdrawal_amount","Withdrawal Amount","","","","","","",""
"petty_cash.withdrawal_reason","Reason for Withdrawal","","","","","","",""
"petty_cash.withdrawal_reason_placeholder","Why are you withdrawing this cash?","","","","","","",""
"petty_cash.reference_number","Reference Number","","","","","","",""
"petty_cash.reference_placeholder","Bank deposit slip, reference number, etc.","","","","","","",""
"petty_cash.withdrawal_notice","This withdrawal will reduce your petty cash balance. Use this when cash needs to be deposited back to the main account or removed for other reasons.","","","","","","",""
"receipt.choose_method","Choose how to add your receipt:","","","","","","",""
"receipt.take_photo","Take Photo","","","","","","",""
"receipt.choose_from_gallery","Choose from Gallery","","","","","","",""
"receipt.permission_required","Permission required","","","","","","",""
"receipt.camera_permission","Camera permission is needed to take photos","","","","","","",""
"receipt.gallery_permission","Gallery permission is needed to select photos","","","","","","",""
"receipt.error_take_photo","Failed to take photo","","","","","","",""
"receipt.error_select_image","Failed to select image","","","","","","",""
"receipt.receipt_image","Receipt Image","","","","","","",""
"receipt.add_receipt_photo","Add Receipt Photo","","","","","","",""
"receipt.tap_to_photo_gallery","Tap to take photo or select from gallery","","","","","","",""
"receipt.view_receipts","View Receipts","","","","","","",""
"receipt.attach_receipt","Attach Receipt","","","","","","",""
"receipt.attached_success","Receipt attached","","","","","","",""
"receipt.attached_failed","Failed to attach receipt","","","","","","",""
"receipt.no_receipts","No receipts attached for this transaction.","","","","","","",""
"transaction.options","Transaction Options","","","","","","",""
"transaction.choose_action","Choose an action","","","","","","",""
"transaction.failed_cancel","Failed to cancel transaction","","","","","","",""
"transaction.principals_only_delete","Only principals can delete transactions","","","","","","",""
"transaction.failed_delete","Failed to delete transaction","","","","","","",""
"transaction.failed_reverse","Failed to create reversal","","","","","","",""
"petty_cash_reconcile.title","Cash Reconciliation","","","","","","",""
"petty_cash_reconcile.loading_data","Loading reconciliation data...","","","","","","",""
"petty_cash_reconcile.balance_comparison","Balance Comparison","","","","","","",""
"petty_cash_reconcile.system_balance","System Balance","","","","","","",""
"petty_cash_reconcile.physical_cash","Physical Cash","","","","","","",""
"petty_cash_reconcile.variance","Variance","","","","","","",""
"petty_cash_reconcile.variance_physical_exceeds","Physical cash exceeds system balance","","","","","","",""
"petty_cash_reconcile.variance_system_exceeds","System balance exceeds physical cash","","","","","","",""
"petty_cash_reconcile.count_physical_cash","Count Physical Cash","","","","","","",""
"petty_cash_reconcile.counting_instructions","Count each denomination and enter the quantity below:","","","","","","",""
"petty_cash_reconcile.enter_quantity_placeholder","0","","","","","","",""
"petty_cash_reconcile.notes_title","Reconciliation Notes","","","","","","",""
"petty_cash_reconcile.notes_placeholder","Add any notes about discrepancies or observations...","","","","","","",""
"petty_cash_reconcile.last_reconciliation","Last Reconciliation","","","","","","",""
"petty_cash_reconcile.complete_reconciliation","Complete Reconciliation","","","","","","",""
"petty_cash_reconcile.reconciling","Reconciling...","","","","","","",""
"petty_cash_reconcile.save_success_title","Reconciliation Complete","","","","","","",""
"petty_cash_reconcile.save_success_message","Cash reconciliation has been recorded.

Variance: {{variance}}","","","","","","",""
"petty_cash_reconcile.view_history","View History","","","","","","",""
"petty_cash_reconcile.load_error","Failed to load reconciliation data","","","","","","",""
"petty_cash_reconcile.save_error","Failed to save reconciliation","","","","","","",""
"category.choose_expense_category","Choose an expense category:","","","","","","",""
"transactions.title","Transactions","","","","","","",""
"transactions.search_placeholder","Search transactions...","","","","","","",""
"transactions.summary_count","{{count}} of {{total}} transactions","","","","","","",""
"transactions.total","Total","","","","","","",""
"transactions.filter_title","Filter Transactions","","","","","","",""
"transactions.type","Transaction Type","","","","","","",""
"transactions.all_types","All Types","","","","","","",""
"transactions.income","Income","","","","","","",""
"transactions.expenses","Expenses","","","","","","",""
"transactions.category","Category","","","","","","",""
"transactions.all_categories","All Categories","","","","","","",""
"transactions.cat_tuition","Tuition","","","","","","",""
"transactions.cat_supplies","Supplies","","","","","","",""
"transactions.cat_salaries","Salaries","","","","","","",""
"transactions.cat_maintenance","Maintenance","","","","","","",""
"transactions.cat_utilities","Utilities","","","","","","",""
"transactions.clear_all","Clear All","","","","","","",""
"transactions.apply_filters","Apply Filters","","","","","","",""
"transactions.no_data","No Data","","","","","","",""
"transactions.no_transactions_export","No transactions available to export","","","","","","",""
"transactions.access_denied_text","Only school principals can access transaction details.","","","","","","",""
"transactions.load_failed","Failed to load transactions","","","","","","",""
"transactions.error_no_school","No preschool associated with your account","","","","","","",""
"finance_dashboard.title","Finance Dashboard","","","","","","",""
"finance_dashboard.loading","Loading financial dashboard...","","","","","","",""
"finance_dashboard.load_failed","Failed to load financial dashboard","","","","","","",""
"finance_dashboard.access_denied_text","Only school principals can access the financial dashboard.","","","","","","",""
"finance_dashboard.trend_title","Cash Flow Trend (Last 6 Months)","","","","","","",""
"finance_dashboard.categories_title","Expense Categories","","","","","","",""
"finance_dashboard.comparison_title","Monthly Comparison","","","","","","",""
"finance_dashboard.export_title","Export Data","","","","","","",""
"finance_dashboard.csv","CSV","","","","","","",""
"finance_dashboard.excel","Excel","","","","","","",""
"finance_dashboard.pdf","PDF","","","","","","",""
"finance_dashboard.quick_actions_title","Quick Actions","","","","","","",""
"finance_dashboard.view_transactions","View Transactions","","","","","","",""
"finance_dashboard.detailed_reports","Detailed Reports","","","","","","",""
"finance_dashboard.net_cash_flow","Net Cash Flow","","","","","","",""
"finance_dashboard.positive","Positive","","","","","","",""
"finance_dashboard.negative","Negative","","","","","","",""
"finance_dashboard.total_transactions","Total Transactions","","","","","","",""
"finance_dashboard.last_30_days","Last 30 days","","","","","","",""
"finance_dashboard.tab_cash_flow","Cash Flow","","","","","","",""
"finance_dashboard.tab_categories","Categories","","","","","","",""
"finance_dashboard.tab_comparison","Compare","","","","","","",""
"finance_dashboard.no_financial_data_export","No financial data available to export","","","","","","",""
"parent.selectChild","Select Child","","","","","","",""
"parent.myChildren","My Children","","","","","","",""
"parent.communicationHub","Communication Hub","","","","","","",""
"parent.messages","Messages","","","","","","",""
"parent.announcements","Announcements","","","","","","",""
"parent.scheduleMeeting","Schedule Meeting","","","","","","",""
"parent.teacherCommunication","Chat with teachers","","","","","","",""
"parent.schoolUpdates","School news & updates","","","","","","",""
"parent.teacherMeeting","Book parent-teacher meeting","","","","","","",""
"parent.noChildrenFound","No Children Found","","","","","","",""
"parent.noChildrenLinked","No children linked to your account","","","","","","",""
"parent.registerOrLinkChild","Register a new child or link an existing enrolled child to start tracking their progress.","","","","","","",""
"parent.registerChild","Register Child","","","","","","",""
"parent.urgentItems","Urgent Items","","","","","","",""
"parent.schoolFeesDue","School Fees Due","","","","","","",""
"parent.newMessages","New Messages","","","","","","",""
"parent.pendingHomework","Pending Homework","","","","","","",""
"parent.overdue","Overdue","","","","","","",""
"parent.dueBy","Due by","","","","","","",""
"parent.fromTeacher","From teacher","","","","","","",""
"parent.assignmentsDue","Assignments due","","","","","","",""
"parent.todaysOverview","Today's Overview","","","","","","",""
"parent.attendanceToday","Attendance","","","","","","",""
"parent.notRecorded","Not recorded","","","","","","",""
"parent.upcomingEvents","Upcoming Events","","","","","","",""
"parent.noEvents","No events","","","","","","",""
"parent.thisWeek","this week","","","","","","",""
"parent.attendanceStatus.present","Present","","","","","","",""
"parent.attendanceStatus.absent","Absent","","","","","","",""
"parent.attendanceStatus.late","Late","","","","","","",""
"parent.noMessagesYet","No messages yet","","","","","","",""
"parent.messagesError","Failed to Load Messages","","","","","","",""
"parent.messagesErrorDesc","Unable to load your messages. Please check your connection and try again.","","","","","","",""
"parent.noMessagesTitle","No Messages Yet","","","","","","",""
"parent.noMessagesDesc","When teachers send you messages about your child, they'll appear here.","","","","","","",""
"parent.startNewMessage","Start New Message","","","","","","",""
"parent.threadError","Unable to Load Messages","","","","","","",""
"parent.threadErrorDesc","We couldn't load your messages. Please check your connection and try again.","","","","","","",""
"parent.startConversation","Start Your Conversation","","","","","","",""
"parent.startConversationDesc","Send your first message to start chatting with your child's teacher.","","","","","","",""
"parent.typeMessage","Type your message...","","","","","","",""
"parent.messageSendError","Failed to send message. Please try again.","","","","","","",""
"pop.uploadProofOfPayment","Upload Proof of Payment","","","","","","",""
"pop.uploadPictureOfProgress","Upload Picture of Progress","","","","","","",""
"pop.paymentFor","Payment for","","","","","","",""
"pop.paymentDetails","Payment Details","","","","","","",""
"pop.title","Title","","","","","","",""
"pop.titlePlaceholder","e.g., School fees January 2024","","","","","","",""
"pop.amount","Amount","","","","","","",""
"pop.paymentMethod","Payment Method","","","","","","",""
"pop.selectPaymentMethod","Select Payment Method","","","","","","",""
"pop.paymentDate","Payment Date","","","","","","",""
"pop.reference","Reference Number","","","","","","",""
"pop.referencePlaceholder","Bank reference, receipt number, etc.","","","","","","",""
"pop.notes","Additional Notes","","","","","","",""
"pop.notesPlaceholder","Any additional information about this payment","","","","","","",""
"pop.uploadReceipt","Upload Receipt","","","","","","",""
"pop.takePhoto","Take Photo","","","","","","",""
"pop.selectFile","Select File","","","","","","",""
"pop.uploadPaymentProof","Upload Payment Proof","","","","","","",""
"pop.uploadSuccess","Upload Successful","","","","","","",""
"pop.uploadSuccessDesc","Your proof of payment has been uploaded and is pending review.","","","","","","",""
"pop.progressFor","Progress for","","","","","","",""
"pop.progressDetails","Progress Details","","","","","","",""
"pop.subject","Subject","","","","","","",""
"pop.subjectPlaceholder","e.g., Mathematics, English, Art","","","","","","",""
"pop.achievementLevel","Achievement Level","","","","","","",""
"pop.selectAchievementLevel","Select Achievement Level","","","","","","",""
"pop.learningArea","Learning Area","","","","","","",""
"pop.learningAreaPlaceholder","Specific skill or topic demonstrated","","","","","","",""
"pop.description","Description","","","","","","",""
"pop.descriptionPlaceholder","Describe what this picture shows about your child's progress","","","","","","",""
"pop.uploadPhoto","Upload Photo","","","","","","",""
"pop.selectPhoto","Select Photo","","","","","","",""
"pop.uploadProgressPicture","Upload Progress Picture","","","","","","",""
"pop.progressUploadSuccess","Progress Upload Successful","","","","","","",""
"pop.progressUploadSuccessDesc","Your picture of progress has been uploaded and shared with the teacher.","","","","","","",""
"pop.pending","Pending Review","","","","","","",""
"pop.approved","Approved","","","","","","",""
"pop.rejected","Rejected","","","","","","",""
"pop.needsRevision","Needs Revision","","","","","","",""
"pop.popHistory","POP History","","","","","","",""
"pop.proofOfPayment","Proof of Payment","","","","","","",""
"pop.pictureOfProgress","Picture of Progress","","","","","","",""
"pop.allTypes","All Types","","","","","","",""
"pop.allStatuses","All Statuses","","","","","","",""
"pop.filterBy","Filter By","","","","","","",""
"pop.type","Type","","","","","","",""
"pop.status","Status","","","","","","",""
"pop.uploadedOn","Uploaded on","","","","","","",""
"pop.reviewedBy","Reviewed by","","","","","","",""
"pop.reviewNotes","Review Notes","","","","","","",""
"pop.noUploads","No uploads yet","","","","","","",""
"pop.noUploadsDesc","Your uploaded proofs of payment and pictures of progress will appear here.","","","","","","",""
"pop.uploadFirst","Upload First Item","","","","","","",""
"pop.viewFile","View File","","","","","","",""
"pop.reupload","Re-upload","","","","","","",""
"pop.deleteUpload","Delete Upload","","","","","","",""
"metrics.total_students","Total Students","","","","","","",""
"metrics.teaching_staff","Teaching Staff","","","","","","",""
"metrics.attendance_rate","Attendance Rate","","","","","","",""
"metrics.monthly_revenue","Monthly Revenue","","","","","","",""
"metrics.active_classes","Active Classes","","","","","","",""
"metrics.pending_applications","Pending Applications","","","","","","",""
"metrics.my_students","My Students","","","","","","",""
"metrics.pending_grading","Pending Grading","","","","","","",""
"metrics.lessons_today","Lessons Today","","","","","","",""
"metrics.across_classes","across {{count}} classes","","","","","","",""
"metrics.assignments_to_review","assignments to review","","","","","","",""
"metrics.scheduled_classes","scheduled classes","","","","","","",""
"quick_actions.manage_teachers","Manage Teachers","","","","","","",""
"quick_actions.manage_teachers_subtitle","Hire, evaluate, and manage staff","","","","","","",""
"quick_actions.student_enrollment","Student Enrollment","","","","","","",""
"quick_actions.student_enrollment_subtitle","Review applications and enroll students","","","","","","",""
"quick_actions.financial_reports","Financial Reports","","","","","","",""
"quick_actions.financial_reports_subtitle","Revenue, expenses, and forecasting","","","","","","",""
"quick_actions.view_finances","View Finances","","","","","","",""
"quick_actions.meeting_rooms","Meeting Rooms","","","","","","",""
"quick_actions.meeting_rooms_subtitle","Schedule meetings and video calls","","","","","","",""
"quick_actions.school_settings","School Settings","","","","","","",""
"quick_actions.school_settings_subtitle","Configure policies and preferences","","","","","","",""
"quick_actions.create_announcement","Create Announcement","","","","","","",""
"quick_actions.create_announcement_subtitle","Notify all parents and staff","","","","","","",""
"quick_actions.school_analytics","School Analytics","","","","","","",""
"quick_actions.school_analytics_subtitle","Performance insights and trends","","","","","","",""
"quick_actions.enroll_student","Enroll Student","","","","","","",""
"quick_actions.send_announcement","Send Announcement","","","","","","",""
"quick_actions.announcement_description","Compose and send a school-wide announcement","","","","","","",""
"quick_actions.parent_requests","Parent Requests","","","","","","",""
"quick_actions.seat_management","Seat Management","","","","","","",""
"quick_actions.invite_parents","Invite Parents","","","","","","",""
"quick_actions.export_data","Export Data","","","","","","",""
"quick_actions.todays_stats","Today's Stats","","","","","","",""
"quick_actions.whatsapp_setup","WhatsApp Setup","","","","","","",""
"quick_actions.quick_settings","Quick Settings","","","","","","",""
"quick_actions.quick_actions","Quick Actions","","","","","","",""
"quick_actions.ai_homework_helper","AI Homework Helper","","","","","","",""
"quick_actions.limit_reached","Limit reached","","","","","","",""
"quick_actions.requests_left","{{count}} requests left","","","","","","",""
"quick_actions.whatsapp_connect","WhatsApp Connect","","","","","","",""
"quick_actions.connect_with_teachers","Connect with teachers","","","","","","",""
"quick_actions.whatsapp_premium_description","Get instant communication with your teachers and receive real-time updates on assignments and progress","","","","","","",""
"quick_actions.learning_resources","Learning Resources","","","","","","",""
"quick_actions.access_study_materials","Access study materials","","","","","","",""
"quick_actions.learning_resources_premium_description","Access premium study materials, interactive content, and curated educational resources","","","","","","",""
"quick_actions.progress_analytics","Progress Analytics","","","","","","",""
"quick_actions.track_your_performance","Track your performance","","","","","","",""
"quick_actions.upgrade_to_unlock","Upgrade to unlock","","","","","","",""
"quick_actions.progress_analytics_premium_description","Get detailed insights into your learning progress with advanced analytics and performance tracking","","","","","","",""
"quick_actions.ai_lessons","AI Lessons","","","","","","",""
"quick_actions.ai_lesson_generator","✨ AI Lesson Generator","","","","","","",""
"quick_actions.ai_lesson_description","Create engaging educational content for your students:

• Age-appropriate lesson plans
• Interactive activity suggestions
• Assessment templates
• Learning objectives alignment

Start creating lessons now:","","","","","","",""
"quick_actions.create_lesson","Create Lesson","","","","","","",""
"quick_actions.view_ai_tools","View AI Tools","","","","","","",""
"quick_actions.ai_quota_management","AI Quota Management","","","","","","",""
"quick_actions.ai_quota_subtitle","Allocate AI credits & manage usage limits","","","","","","",""
"quick_actions.ai_insights_recommendations","🤖 AI Insights & Recommendations","","","","","","",""
"quick_actions.ai_insights_description","Get AI-powered insights based on your school data:

• Attendance pattern analysis
• Financial trend insights
• Teacher performance indicators
• Student progress tracking
• Enrollment optimization tips

View detailed analytics now:","","","","","","",""
"quick_actions.view_ai_insights","View AI Insights","","","","","","",""
"quick_actions.create_lessons","Create Lessons","","","","","","",""
"quick_actions.create_lessons_subtitle","Generate lessons & assessments with AI","","","","","","",""
"quick_actions.advanced_analytics_subtitle","Deep insights & forecasting","","","","","","",""
"quick_actions.seat_management_subtitle","Assign or revoke teacher seats","","","","","","",""
"quick_actions.configure_in_settings","Configure in Settings","","","","","","",""
"quick_actions.go_to_settings","Go to Settings","","","","","","",""
"ai.homework.title","AI Homework Helper","","","","","","",""
"ai.homework.description","Get step-by-step help with your homework","","","","","","",""
"ai.homework.askQuestion","Ask a question about your homework","","","","","","",""
"ai.homework.questionPlaceholder","Type your homework question here...","","","","","","",""
"ai.homework.subject","Subject","","","","","","",""
"ai.homework.gradeLevel","Grade Level","","","","","","",""
"ai.homework.difficulty","Difficulty Level","","","","","","",""
"ai.homework.getHelp","Get Help","","","","","","",""
"ai.homework.explanation","Explanation","","","","","","",""
"ai.homework.stepByStep","Step by Step","","","","","","",""
"ai.homework.hints","Hints","","","","","","",""
"ai.homework.relatedConcepts","Related Concepts","","","","","","",""
"ai.homework.practiceProblems","Practice Problems","","","","","","",""
"ai.homework.loading","Thinking...","","","","","","",""
"ai.homework.error","Sorry, I couldn't help with that question. Please try again.","","","","","","",""
"ai.homework.noQuestion","Please enter a question to get help.","","","","","","",""
"ai.lessons.title","AI Lesson Generator","","","","","","",""
"ai.lessons.description","Create engaging lessons with AI assistance","","","","","","",""
"ai.lessons.topic","Lesson Topic","","","","","","",""
"ai.lessons.topicPlaceholder","Enter the main topic for your lesson","","","","","","",""
"ai.lessons.subject","Subject","","","","","","",""
"ai.lessons.gradeLevel","Grade Level","","","","","","",""
"ai.lessons.duration","Duration (minutes)","","","","","","",""
"ai.lessons.objectives","Learning Objectives","","","","","","",""
"ai.lessons.objectivePlaceholder","What should students learn?","","","","","","",""
"ai.lessons.generate","Generate Lesson","","","","","","",""
"ai.lessons.materials","Materials Needed","","","","","","",""
"ai.lessons.activities","Activities","","","","","","",""
"ai.lessons.assessment","Assessment","","","","","","",""
"ai.lessons.extensions","Extensions","","","","","","",""
"ai.lessons.loading","Creating lesson...","","","","","","",""
"ai.lessons.error","Failed to generate lesson. Please try again.","","","","","","",""
"ai.usage.title","AI Usage","","","","","","",""
"ai.usage.monthly","This Month","","","","","","",""
"ai.usage.daily","Today","","","","","","",""
"ai.usage.tokens","Tokens Used","","","","","","",""
"ai.usage.requests","Requests Made","","","","","","",""
"ai.usage.cost","Cost","","","","","","",""
"ai.usage.remaining","Remaining Quota","","","","","","",""
"ai.usage.unlimited","Unlimited","","","","","","",""
"ai.usage.upgradeRequired","Upgrade required for more usage","","","","","","",""
"ai.usage.rateLimited","Rate limit exceeded. Please try again later.","","","","","","",""
"homework.title","Homework","","","","","","",""
"homework.assignments","Assignments","","","","","","",""
"homework.dueDate","Due Date","","","","","","",""
"homework.status","Status","","","","","","",""
"homework.pending","Pending","","","","","","",""
"homework.completed","Completed","","","","","","",""
"homework.overdue","Overdue","","","","","","",""
"homework.submit","Submit","","","","","","",""
"homework.viewDetails","View Details","","","","","","",""
"homework.noAssignments","No homework assignments","","","","","","",""
"lessons.title","Lessons","","","","","","",""
"lessons.create","Create Lesson","","","","","","",""
"lessons.edit","Edit Lesson","","","","","","",""
"lessons.delete","Delete Lesson","","","","","","",""
"lessons.duplicate","Duplicate","","","","","","",""
"lessons.share","Share","","","","","","",""
"lessons.preview","Preview","","","","","","",""
"lessons.publish","Publish","","","","","","",""
"lessons.draft","Draft","","","","","","",""
"lessons.published","Published","","","","","","",""
"settings.title","Settings","","","","","","",""
"settings.profile","Profile Settings","","","","","","",""
"settings.notifications","Notifications","","","","","","",""
"settings.privacy","Privacy","","","","","","",""
"settings.securityPrivacy","Security & Privacy","","","","","","",""
"settings.dataProtection","Data Protection","","","","","","",""
"settings.learnDataProtection","Learn how we protect your data","","","","","","",""
"settings.appearanceLanguage","Appearance & Language","","","","","","",""
"settings.schoolOverview","School Overview","","","","","","",""
"settings.schoolName","School Name","","","","","","",""
"settings.regionalSettings","Regional Settings","","","","","","",""
"settings.whatsappIntegration","WhatsApp Integration","","","","","","",""
"settings.whatsappConfigured","WhatsApp is configured","","","","","","",""
"settings.whatsappNotConfigured","WhatsApp is not configured","","","","","","",""
"settings.active","Active","","","","","","",""
"settings.activeFeatures","Active Features","","","","","","",""
"settings.editFullSettings","Edit Full Settings","","","","","","",""
"settings.configureAllSchoolSettings","Configure all school settings","","","","","","",""
"settings.loadingSchoolSettings","Loading school settings...","","","","","","",""
"settings.failedToLoadSettings","Failed to load school settings","","","","","","",""
"settings.noFeaturesEnabled","No features are currently enabled","","","","","","",""
"settings.aboutSupport","About & Support","","","","","","",""
"settings.language.title","Language","","","","","","",""
"settings.theme.title","Theme","","","","","","",""
"settings.theme.light","Light","","","","","","",""
"settings.theme.dark","Dark","","","","","","",""
"settings.theme.system","System","","","","","","",""
"settings.biometric.title","Biometric Authentication","","","","","","",""
"settings.biometric.notAvailable","Biometric authentication is not available on this device","","","","","","",""
